date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-10-01,0,0,0,0,0
2024-10-02,0,0,0,0,0
2024-10-03,0,0,0,0,0
2024-10-04,0,0,0,0,0
2024-10-05,0,0,0,0,0
2024-10-06,0,0,0,0,0
2024-10-07,1,2,1,39001,1
2024-10-08,2,4,2,100001,2
2024-10-09,0,0,0,0,0
2024-10-10,3,6,3,193000,3
2024-10-11,10,21,11,429104,10
2024-10-12,25,56,24,1211726,24
2024-10-13,21,45,21,1023906,20
2024-10-14,6,19,7,378175,6
2024-10-15,3,8,3,299960,3
2024-10-16,3,8,3,122503,3
2024-10-17,2,6,2,140901,2
2024-10-18,7,23,7,373930,7
2024-10-19,18,49,18,1075178,18
2024-10-20,9,23,9,533014,9
2024-10-21,0,0,0,0,0
2024-10-22,2,4,2,157600,2
2024-10-23,1,2,1,46001,1
2024-10-24,7,9,5,226801,5
2024-10-25,11,43,12,615504,11
2024-10-26,23,51,24,1076056,23
2024-10-27,5,15,5,360157,5
2024-10-28,0,0,0,0,0
2024-10-29,0,0,0,0,0
2024-10-30,2,3,1,94500,1
2024-10-31,3,11,4,427950,3
2024-11-01,3,10,3,197701,3
2024-11-02,22,50,18,1188605,16
2024-11-03,10,50,18,1215455,10
2024-11-04,4,11,4,352800,4
2024-11-05,0,0,0,0,0
2024-11-06,0,0,0,0,0
2024-11-07,6,12,6,706201,6
2024-11-08,8,16,7,1108122,7
2024-11-09,9,25,10,1544203,9
2024-11-10,10,26,10,1551923,10
2024-11-11,5,12,5,753801,5
2024-11-12,4,11,4,870021,4
2024-11-13,3,6,3,354600,3
2024-11-14,9,20,9,1350801,9
2024-11-15,12,28,12,1552323,12
2024-11-16,11,26,11,1882603,11
2024-11-17,17,38,17,2331506,17
2024-11-18,10,21,10,1319363,10
2024-11-19,4,8,4,738500,4
2024-11-20,0,0,0,0,0
2024-11-21,5,10,5,810320,5
2024-11-22,9,22,9,1445222,9
2024-11-23,13,33,13,2170902,13
2024-11-24,8,24,8,1583003,8
2024-11-25,2,4,2,334400,2
2024-11-26,2,4,2,361000,2
2024-11-27,2,4,2,185001,2
2024-11-28,4,8,4,539900,4
2024-11-29,7,15,7,978401,7
2024-11-30,5,12,5,846502,5
2024-12-01,8,17,8,1205901,8
2024-12-02,2,4,2,363400,2
2024-12-03,3,7,3,656840,3
2024-12-04,0,0,0,0,0
2024-12-05,1,2,1,180720,1
2024-12-06,5,12,5,934200,5
2024-12-07,11,23,11,1381805,11
2024-12-08,5,14,6,1025601,5
2024-12-09,2,6,2,285000,2
2024-12-10,1,2,1,189300,1
2024-12-11,1,2,1,119000,1
2024-12-12,2,7,2,681800,2
2024-12-13,3,6,3,425601,3
2024-12-14,10,24,10,1470354,10
2024-12-15,6,22,6,627003,6
2024-12-16,0,0,0,0,0
2024-12-17,1,2,1,188200,1
2024-12-18,1,2,1,85000,1
2024-12-19,0,0,0,0,0
2024-12-20,0,0,0,0,0
2024-12-21,8,25,8,1487200,8
2024-12-22,3,7,3,452201,3
2024-12-23,1,4,1,367600,1
2024-12-24,0,0,0,0,0
2024-12-25,0,0,0,0,0
2024-12-26,2,4,2,305200,2
2024-12-27,1,4,1,398400,1
2024-12-28,9,20,9,1562221,9
2024-12-29,12,37,12,2075306,12
2024-12-30,3,6,3,384001,3
2024-12-31,5,21,5,1184503,5
2025-01-01,1,2,1,111001,1
2025-01-02,6,16,6,842103,6
2025-01-03,2,6,2,365002,2
2025-01-04,3,7,3,699700,3
2025-01-05,1,3,1,256200,1
2025-01-06,2,4,2,430560,2
2025-01-07,0,0,0,0,0
2025-01-08,0,0,0,0,0
2025-01-09,0,0,0,0,0
